nr,kind,type,start_s,time_s,distance_m,pace_s,pace_str,watts,spm,hr_avg,hr_min,hr_max,hr_end,hr_start_strokes,hr_end_strokes,hr_rise,rest_time_s,rest_distance_m,calories
1,split,,0.0,271.7,2000.0,135.85,2:15.8,139.60118862959408,70,,,,,,,,0.0,0.0,58
2,split,,271.7,258.9,2000.0,129.45,2:09.4,161.3473660403711,73,,,,,,,,0.0,0.0,61
3,split,,530.6,255.0,2000.0,127.5,2:07.5,168.86416235083033,74,,,,,,,,0.0,0.0,62
4,split,,785.6,255.5,2000.0,127.75,2:07.8,167.87472642321438,74,,,,,,,,0.0,0.0,62
5,split,,1041.1,243.8,2000.0,121.9,2:01.9,193.22215767982613,78,,,,,,,,0.0,0.0,65
