nr,kind,type,start_s,time_s,distance_m,pace_s,pace_str,watts,spm,hr_avg,hr_min,hr_max,hr_end,hr_start_strokes,hr_end_strokes,hr_rise,rest_time_s,rest_distance_m,calories
1,split,,0.0,255.5,2000.0,127.75,2:07.8,167.87472642321438,74,,,,,,,,0.0,0.0,62
2,split,,255.5,246.3,2000.0,123.15,2:03.2,187.39793279146437,77,,,,,,,,0.0,0.0,64
3,split,,501.8,243.3,2000.0,121.65,2:01.6,194.4158661626879,78,,,,,,,,0.0,0.0,65
4,split,,745.1,244.9,2000.0,122.45,2:02.4,190.6301879092912,77,,,,,,,,0.0,0.0,65
5,split,,990.0,246.9,2000.0,123.45,2:03.4,186.03504409403843,77,,,,,,,,0.0,0.0,64
