t_s,distance_m,pace_s,spm,hr,segment
2.1,6.4,0.0,41,,1
3.0,12.6,0.0,41,,1
4.1,18.9,203.8,51,,1
5.2,25.3,203.8,51,,1
6.2,31.6,169.9,59,,1
7.1,37.9,169.9,59,,1
8.0,44.2,151.3,65,,1
8.9,50.6,151.3,65,,1
9.8,56.9,143.5,67,,1
10.7,63.2,143.5,67,,1
11.6,69.5,141.8,68,,1
12.4,75.9,141.8,68,,1
13.3,82.2,139.5,68,,1
14.2,88.7,139.5,68,,1
15.1,94.9,141.5,67,,1
16.0,101.2,141.5,67,,1
17.0,107.5,144.2,65,,1
17.9,114.0,144.2,65,,1
18.8,120.2,146.7,65,,1
19.7,126.6,146.7,65,,1
20.7,133.0,145.5,65,,1
21.5,139.2,145.5,65,,1
22.4,145.5,143.2,68,,1
23.3,151.9,143.2,68,,1
24.2,158.3,140.0,68,,1
25.1,164.6,140.0,68,,1
25.9,170.9,138.0,69,,1
26.8,177.3,138.0,69,,1
27.7,183.6,137.5,69,,1
28.5,189.9,137.5,69,,1
29.4,196.2,137.9,68,,1
30.3,202.4,137.9,68,,1
31.1,208.8,139.0,69,,1
32.0,215.4,139.0,69,,1
32.9,221.6,138.1,69,,1
33.7,227.7,138.1,69,,1
34.6,234.2,137.1,70,,1
35.5,240.4,137.1,70,,1
36.3,246.7,136.3,71,,1
37.2,253.2,136.3,71,,1
38.0,259.4,134.5,71,,1
38.9,265.8,134.5,71,,1
39.7,272.0,134.5,70,,1
40.6,278.5,134.5,70,,1
41.4,284.7,135.1,70,,1
42.3,291.2,135.1,70,,1
43.1,297.5,135.2,70,,1
44.0,303.8,135.2,70,,1
44.8,310.1,135.2,71,,1
45.6,316.5,135.2,71,,1
46.4,322.8,130.0,75,,1
47.2,329.0,130.0,75,,1
48.0,335.3,125.8,75,,1
48.8,341.8,125.8,75,,1
49.6,348.0,127.9,74,,1
50.5,354.3,127.9,74,,1
51.3,360.6,130.4,73,,1
52.1,367.1,130.4,73,,1
53.0,373.4,131.3,72,,1
53.8,379.6,131.4,72,,1
54.6,386.2,131.4,72,,1
55.4,392.3,131.4,72,,1
56.3,398.6,132.5,72,,1
57.1,405.1,132.5,72,,1
58.0,411.4,132.3,72,,1
58.8,417.6,132.3,72,,1
59.6,423.9,133.0,71,,1
60.5,430.4,133.0,71,,1
61.3,436.6,133.0,72,,1
62.1,442.9,133.0,72,,1
63.0,449.3,132.4,72,,1
63.8,455.7,132.4,72,,1
64.7,462.1,132.0,72,,1
65.5,468.4,132.0,72,,1
66.3,474.7,131.7,72,,1
67.1,480.9,131.7,72,,1
67.9,487.2,129.8,73,,1
68.8,493.6,129.8,73,,1
69.6,500.0,131.6,71,,1
70.4,506.2,131.6,71,,1
71.3,512.6,133.4,71,,1
72.1,519.0,133.4,71,,1
73.0,525.4,133.5,71,,1
73.8,531.7,133.5,71,,1
74.6,538.0,132.6,72,,1
75.5,544.2,132.6,72,,1
76.3,550.5,131.6,73,,1
77.2,557.1,131.4,73,,1
77.9,563.2,131.4,73,,1
78.8,569.7,131.4,73,,1
79.6,575.9,130.8,73,,1
80.4,582.2,130.8,73,,1
81.2,588.5,129.9,74,,1
82.1,595.0,129.9,74,,1
82.9,601.3,129.5,73,,1
83.7,607.6,129.5,73,,1
84.4,613.8,128.3,75,,1
85.2,620.3,128.3,75,,1
86.0,626.6,124.7,76,,1
86.8,633.0,124.7,76,,1
87.6,639.3,125.5,75,,1
88.4,645.5,125.5,75,,1
89.2,651.8,127.2,74,,1
90.0,658.2,127.2,74,,1
90.9,664.6,128.0,74,,1
91.7,670.8,128.0,74,,1
92.5,677.1,129.5,73,,1
93.3,683.5,129.5,73,,1
94.2,689.9,131.0,72,,1
95.0,696.3,131.0,72,,1
95.9,702.6,132.8,71,,1
96.7,708.9,132.8,71,,1
97.6,715.1,136.2,70,,1
98.4,721.5,136.2,70,,1
99.3,727.9,135.2,71,,1
100.1,734.3,135.2,71,,1
100.9,740.6,133.7,73,,1
101.7,746.9,133.7,73,,1
102.5,753.2,128.2,75,,1
103.3,759.6,128.2,75,,1
104.1,765.9,126.2,75,,1
104.9,772.2,126.2,75,,1
105.8,778.6,127.7,73,,1
106.6,784.9,127.7,73,,1
107.4,791.1,129.4,73,,1
108.2,797.4,129.4,73,,1
109.0,803.9,128.9,73,,1
109.8,810.1,128.9,73,,1
110.6,816.5,128.5,73,,1
111.4,822.7,128.5,73,,1
112.3,829.2,128.9,73,,1
113.1,835.5,128.9,73,,1
113.9,841.9,129.9,73,,1
114.7,848.2,129.9,73,,1
115.5,854.5,129.3,74,,1
116.3,860.7,129.3,74,,1
117.1,867.1,127.9,75,,1
117.9,873.5,127.9,75,,1
118.7,880.0,125.7,76,,1
119.5,886.1,125.7,76,,1
120.3,892.5,125.0,76,,1
121.1,898.7,125.0,76,,1
121.9,905.2,124.8,76,,1
122.6,911.4,124.8,76,,1
123.4,917.7,124.7,76,,1
124.2,924.2,124.7,76,,1
125.0,930.5,122.9,78,,1
125.7,936.8,122.9,78,,1
126.5,943.0,121.8,78,,1
127.3,949.5,121.8,78,,1
128.0,955.8,121.3,78,,1
128.8,962.2,121.3,78,,1
129.6,968.4,122.9,76,,1
130.4,974.8,122.9,76,,1
131.2,981.2,126.2,75,,1
132.0,987.6,126.2,75,,1
132.8,993.7,126.7,75,,1
133.6,1000.1,126.7,75,,1
134.4,1006.5,127.8,74,,1
135.2,1012.7,127.8,74,,1
136.0,1019.0,128.4,74,,1
136.8,1025.3,128.4,74,,1
137.7,1031.8,127.9,74,,1
138.5,1038.1,128.3,74,,1
139.3,1044.3,128.3,74,,1
140.1,1050.8,128.1,75,,1
140.9,1057.1,128.1,75,,1
141.7,1063.3,128.1,75,,1
142.5,1069.8,128.0,75,,1
143.3,1076.1,128.0,75,,1
144.1,1082.3,126.8,75,,1
144.9,1088.7,126.8,75,,1
145.7,1095.0,125.8,76,,1
146.5,1101.3,125.8,76,,1
147.2,1107.7,124.8,76,,1
148.0,1114.1,124.4,76,,1
148.8,1120.4,124.4,76,,1
149.6,1126.6,124.8,76,,1
150.4,1133.1,124.8,76,,1
151.2,1139.3,124.8,76,,1
152.0,1145.8,124.7,76,,1
152.7,1152.0,124.7,76,,1
153.5,1158.3,124.9,76,,1
154.3,1164.6,124.9,76,,1
155.1,1171.1,124.5,76,,1
155.9,1177.3,124.5,76,,1
156.7,1183.6,124.5,76,,1
157.5,1190.1,124.5,76,,1
158.2,1196.3,124.7,77,,1
159.0,1202.8,124.7,77,,1
159.8,1209.1,123.6,77,,1
160.6,1215.3,123.6,77,,1
161.4,1221.7,123.4,77,,1
162.1,1227.9,123.4,77,,1
162.9,1234.4,122.1,79,,1
163.6,1240.6,122.1,79,,1
164.4,1246.9,118.7,81,,1
165.1,1253.3,118.7,81,,1
165.8,1259.7,116.5,82,,1
166.5,1265.9,115.9,82,,1
167.3,1272.3,115.9,82,,1
168.0,1278.9,115.9,82,,1
168.8,1284.9,116.3,81,,1
169.5,1291.3,116.3,81,,1
170.3,1297.6,118.1,79,,1
171.0,1303.9,120.4,78,,1
171.8,1310.3,120.4,78,,1
172.5,1316.6,120.4,78,,1
173.3,1322.9,120.9,78,,1
174.1,1329.4,120.9,78,,1
174.9,1335.7,121.0,79,,1
175.6,1342.0,121.0,79,,1
176.4,1348.4,121.2,78,,1
177.1,1354.6,121.2,78,,1
177.9,1361.0,121.8,79,,1
178.7,1367.2,121.8,79,,1
179.4,1373.6,121.7,78,,1
180.2,1379.9,121.7,78,,1
181.0,1386.2,123.0,77,,1
181.8,1392.6,123.0,77,,1
182.6,1399.0,124.6,76,,1
183.4,1405.2,124.6,76,,1
184.2,1411.7,124.9,77,,1
184.9,1418.0,124.9,77,,1
185.7,1424.4,123.3,77,,1
186.5,1430.7,123.3,77,,1
187.2,1436.9,121.8,78,,1
188.0,1443.4,122.0,78,,1
188.8,1449.6,122.0,78,,1
189.5,1456.0,122.0,78,,1
190.3,1462.2,119.5,79,,1
191.1,1468.7,119.5,79,,1
191.8,1475.0,121.4,77,,1
192.6,1481.3,121.4,77,,1
193.4,1487.7,122.0,77,,1
194.1,1493.9,122.5,77,,1
194.9,1500.2,122.5,77,,1
195.7,1506.5,122.5,77,,1
196.5,1512.9,122.8,77,,1
197.2,1519.3,122.8,77,,1
198.0,1525.8,122.5,78,,1
198.8,1531.9,122.5,78,,1
199.5,1538.2,122.2,78,,1
200.3,1544.7,122.2,78,,1
201.1,1551.1,122.6,78,,1
201.9,1557.2,122.6,78,,1
202.6,1563.6,122.5,78,,1
203.4,1570.0,122.5,78,,1
204.1,1576.2,121.2,79,,1
204.9,1582.6,121.2,79,,1
205.6,1589.0,119.1,81,,1
206.4,1595.2,119.1,81,,1
207.1,1601.8,116.3,82,,1
207.8,1607.8,116.3,82,,1
208.6,1614.3,117.1,80,,1
209.3,1620.6,117.1,80,,1
210.1,1626.8,118.3,80,,1
210.8,1633.2,118.3,80,,1
211.6,1639.6,118.5,80,,1
212.3,1645.8,118.5,80,,1
213.1,1652.3,118.2,81,,1
213.8,1658.6,118.2,81,,1
214.5,1664.8,117.5,81,,1
215.3,1671.1,117.5,81,,1
216.0,1677.7,116.5,82,,1
216.7,1683.9,116.5,82,,1
217.5,1690.1,115.7,83,,1
218.2,1696.7,115.7,83,,1
218.9,1702.9,114.9,83,,1
219.6,1709.1,114.9,83,,1
220.3,1715.6,114.1,84,,1
221.0,1721.9,114.1,84,,1
221.8,1728.3,112.6,84,,1
222.5,1734.5,112.6,84,,1
223.3,1740.9,116.1,80,,1
224.0,1747.1,116.1,80,,1
224.8,1753.4,120.8,78,,1
225.6,1759.9,120.8,78,,1
226.4,1766.2,123.5,76,,1
227.2,1772.6,123.5,76,,1
228.0,1778.9,125.0,75,,1
228.7,1785.1,125.0,75,,1
229.5,1791.4,125.3,76,,1
230.3,1797.8,125.3,76,,1
231.1,1804.4,124.9,76,,1
231.9,1810.6,124.2,76,,1
232.7,1816.9,124.2,76,,1
233.4,1823.2,122.5,77,,1
234.2,1829.4,122.5,77,,1
235.0,1835.9,123.5,76,,1
235.8,1842.1,123.5,76,,1
236.6,1848.4,123.5,76,,1
237.3,1854.7,124.9,76,,1
238.1,1861.1,124.9,76,,1
238.9,1867.5,124.7,76,,1
239.7,1873.9,124.7,76,,1
240.5,1880.1,125.3,76,,1
241.3,1886.4,125.3,76,,1
242.1,1893.0,125.6,76,,1
242.9,1899.1,125.6,76,,1
243.7,1905.4,125.2,77,,1
244.5,1911.9,125.2,77,,1
245.2,1918.2,123.2,77,,1
246.0,1924.5,123.2,77,,1
246.8,1930.7,124.9,75,,1
247.6,1937.1,124.9,75,,1
248.4,1943.5,126.1,75,,1
249.2,1950.0,126.1,75,,1
250.0,1956.0,125.6,75,,1
250.8,1962.4,125.6,75,,1
251.6,1968.7,125.4,75,,1
252.4,1975.2,125.4,75,,1
253.2,1981.5,125.6,75,,1
253.9,1987.8,125.6,75,,1
254.7,1994.2,125.0,76,,1
255.5,2000.5,125.0,76,,1
256.3,2006.8,123.3,77,,1
257.1,2013.2,123.3,77,,1
257.9,2019.6,123.9,76,,1
258.6,2025.8,123.9,76,,1
259.4,2032.2,125.0,76,,1
260.2,2038.4,125.0,76,,1
