nr,kind,type,start_s,time_s,distance_m,pace_s,pace_str,watts,spm,hr_avg,hr_min,hr_max,hr_end,hr_start_strokes,hr_end_strokes,hr_rise,rest_time_s,rest_distance_m,calories
1,split,,0.0,240.0,1684.0,142.51781472684087,2:22.5,120.90954328703702,69,,,,,,,,0.0,0.0,47
2,split,,240.0,240.0,1722.0,139.37282229965157,2:19.4,129.28071953125,71,,,,,,,,0.0,0.0,49
3,split,,480.0,240.0,1783.0,134.60459899046552,2:14.6,143.51204358000578,74,,,,,,,,0.0,0.0,52
4,split,,720.0,240.0,1799.0,133.40744858254587,2:13.4,147.4102929434317,74,,,,,,,,0.0,0.0,53
5,split,,960.0,240.0,1854.0,129.44983818770226,2:09.4,161.34797109375003,77,,,,,,,,0.0,0.0,57
