nr,kind,type,start_s,time_s,distance_m,pace_s,pace_str,watts,spm,hr_avg,hr_min,hr_max,hr_end,hr_start_strokes,hr_end_strokes,hr_rise,rest_time_s,rest_distance_m,calories
1,intervall,distance,0.0,242.4,1000.0,121.2,2:01.2,196.5894396844187,42,,,,,,,,317.0,0.0,66
2,intervall,distance,559.4,193.9,800.0,121.1875,2:01.2,196.650278173677,41,,,,,,,,274.0,28.0,52
3,intervall,distance,1027.3,143.3,600.0,119.41666666666669,1:59.4,205.52904832519647,39,,,,,,,,160.0,19.0,40
4,intervall,distance,1330.6,96.6,400.0,120.74999999999999,2:00.7,198.79553512682944,39,,,,,,,,112.0,17.0,26
5,intervall,distance,1539.2,47.9,200.0,119.74999999999999,1:59.7,203.81750366341498,40,,,,,,,,0.0,0.0,13
