t_s,distance_m,pace_s,spm,hr,segment
1.6,4.4,184.6,53,,1
3.0,9.1,184.6,53,,1
4.5,14.3,144.0,41,,1
5.9,19.7,133.4,42,,1
7.4,25.6,133.4,42,,1
8.9,31.8,126.5,41,,1
10.4,37.9,121.2,40,,1
11.9,44.2,121.3,40,,1
13.4,50.5,121.3,40,,1
14.9,56.6,121.9,40,,1
16.4,62.6,121.2,41,,1
17.9,68.9,119.6,41,,1
19.3,74.9,119.6,41,,1
20.7,80.8,117.9,43,,1
22.1,87.0,117.9,43,,1
23.6,93.2,118.9,41,,1
25.0,99.1,118.9,41,,1
26.4,105.1,119.1,43,,1
27.9,111.1,119.1,42,,1
29.3,117.1,118.4,43,,1
30.7,123.2,118.4,42,,1
32.1,129.2,118.4,42,,1
33.6,135.3,118.1,42,,1
34.9,141.1,118.1,42,,1
36.4,147.4,117.0,41,,1
37.8,153.4,117.0,41,,1
39.3,159.8,117.0,41,,1
40.7,165.9,117.0,41,,1
42.1,172.0,116.4,42,,1
43.6,178.4,117.0,41,,1
45.1,184.9,117.0,41,,1
46.6,191.1,118.3,39,,1
48.1,197.4,118.9,40,,1
49.5,203.4,118.9,40,,1
51.1,209.9,119.9,42,,1
52.6,216.1,120.5,39,,1
54.2,222.7,120.8,40,,1
55.7,229.2,121.2,38,,1
57.2,235.3,121.1,39,,1
58.7,241.5,119.4,41,,1
60.1,247.7,119.6,41,,1
61.6,253.8,119.6,41,,1
63.1,259.8,120.7,41,,1
64.5,265.7,120.2,43,,1
65.9,271.8,120.2,43,,1
67.4,278.0,120.2,41,,1
68.9,284.1,120.6,42,,1
70.4,290.5,120.4,39,,1
71.9,296.6,120.4,39,,1
73.4,302.7,121.1,41,,1
74.8,308.6,121.1,41,,1
76.2,314.4,120.6,43,,1
77.7,320.8,121.7,39,,1
79.1,326.6,121.7,39,,1
80.6,332.5,121.6,42,,1
82.1,338.7,121.9,40,,1
83.5,344.4,121.9,40,,1
84.9,350.4,122.1,41,,1
86.4,356.4,122.5,41,,1
87.8,362.3,122.0,43,,1
89.4,368.5,122.7,39,,1
90.8,374.4,122.7,39,,1
92.2,380.2,121.1,43,,1
93.7,386.5,120.2,40,,1
95.2,392.7,120.2,40,,1
96.6,398.7,119.9,42,,1
